State,Latitude,Longitude,City
CT,-7.507.634.921.193.030,-460.341.152.921.319,Centro
SC,-754.045.272.328.617,-46.054.388.768.970.900,São Caetano
BV,-75.319.281.712.627.000,-46.058.445.274.829.800,Bela Vista
CN,-7.552.345.666.919.680,-4.606.377.348.303.790,Cidade Nova
NA,-7.530.417.818.666.220,-46.064.935.214.817.500,Nova Açucena
PTS,-7.512.877.865.665.490,-460.390.679.910.779,Potosi
JI2,-7.484.691.933.268.520,-46.038.801.446.557.000,Jardim Iracema 2
CDI,-7.516.512.289.631.520,-46.052.339.896.559.700,CDI
BB,-7.545.016.897.608.300,-4.604.702.107.608.310,Bacaba
AV,-7.544.852.372.790.160,-46.046.995.259.821.400,Açucena Velha
SF,-7.501.758.679.666.740,-4.603.634.689.003.220,São Félix
RS,-7.550.810.125.542.720,-4.606.347.776.949.400,Rosa Santos
CH,-7.545.166.133.197.300,-4.605.191.610.753.530,Cohab Nova
SL,-7.506.247.473.203.900,-4.603.954.743.593.930,São Luis
FT,-7.526.867.937.529.790,-4.604.772.783.815.860,Fátima
SAM,-7.512.881.522.042.920,-4.603.038.031.607.860,Santo Amaro
SFC,-7.513.848.134.194.100,-4.604.642.629.623.410,São Francisco
V1,-7.535.753.222.026.020,-4.607.472.728.937.860,Veneza 1
CJ,-7.522.996.938.516.800,-4.603.295.657.783.740,Cajueiro
PV,-7.505.692.692.210.720,-4.602.467.492.222.780,Prime ville
MN,-7.523.532.751.190.520,-4.602.981.202.304.360,Manoel Novo
SI,-7.519.082.693.851.690,-4.605.021.961.033.340,Setor Industrial
NZ,-7.535.895.480.822.500,-4.604.015.126.824.370,Nazaré
JI1,-7.499.519.916.469.040,-4.604.097.068.309.780,Jardim Iracema
VMT,-7.539.170.411.643.730,-4.605.101.756.751.530,Vila Militar
NT,-7.539.789.963.414.400,-4.602.843.638.509.510,Nova Trezidela
CA,-75.335.229.436.646.900,-4.604.976.464.062.920,Catumbi
CVL,-7.540.642.842.781.230,-4.604.853.350.669.140,Cohab Velha
RSA,-75.517.716.675.672.700,-46.023.721.396.923.000,Risa
JP,-75.434.519,-460.683.684,Jardim Primavera
FR,-75.414.777.721.624.800,-4.603.765.580.803.150,Flora Rica
JC,-7.552.423.773.315.760,-46.059.511.452.913.200,Jocy Barbosa
TZ,-7.541.765.277.328.990,-4.603.313.896.805.040,Trezidela
PDI,-7.522.689.145.081.150,-4.606.545.455.753.800,Prq. Dos Ipês
VPTS,-7.516.573.450.338.000,-4.604.469.325.393.430,Vivendas Do Potosí
ES,-755.363.259.263.307,-4.606.252.055.615.180,Emerson Santos
SRC,-7.533.476.410.163.770,-4.604.066.926.985.970,Santa Rita De Cássia
SJ,-7.542.623.138.430.460,-46.056.182.496.249.600,São José
ALV,-7.530.343.032.144.290,-4.603.312.287.479.630,Alvorada
JE,-7.516.852.329.754.510,-4.602.913.744.747.630,Jardim Europa
JCL,-7.552.564.697.160.650,-46.062.507.815.659.000,Joaquim Coelho
V2,-7.535.935.366.458.010,-4.607.767.000.794.410,Veneza 2
PLN,-7.514.483.344.790.810,-4.603.256.229.311.220,Planalto
ZR5,-7.473.221.648.570.840,-4.604.043.088.853.350,Zona Rural 5 Até 10km
GRT,-7.533.476.410.163.770,-4.604.066.926.985.970,Grotões
PCM,-7.516.761.918.330.410,-4.605.865.951.627.490,Prq. Cidade Maravilha
NE,-7.524.773.560.505.210,-46.064.496.003.091.300,Nova Esperança
JO,-7.553.883.197.039.450,-4.606.515.280.902.380,Jardim das oliveiras
ZR,-7.510.212.690.739.300,-46.031.883.023.679.200,Zona Rural
MS,-7.545.745.459.283.190,-46.073.102.876.544,Mont Serrat
ZR6,-7.556.072.489.564.090,-4.602.330.029.010.770,Zona Rural 3 Até 6km
UB,-7.521.628.818.291.020,-4.607.573.311.775.920,Unibalsas
ZR2,-7.554.390.720.372.110,-46.089.763.417.840.000,Zona Rural 1 Até 2km
ZR4,-7.564.003.638.087.720,-4.609.929.800.033.560,Zona Rural 2 Até 4km
CJS,-7.508.207.649.390.510,-4.604.940.690.100.190,Condomínio Jardim Do Sol
DF,-7.560.973.180.820.740,-4.606.429.785.490.030,Dom Franco
GLR,-75.204.175.828.877.900,-4.605.040.065.944.190,Prq. Gov. Luís Rocha
SAN,-7.525.165.779.159.180,-4.604.551.501.572.130,Santo Antônio
LFL,-7.542.523.425.875.250,-4.603.630.665.689.700,Lot. Flora Rica
