State,Latitude,Longitude,City
CT,-7.531389,-46.037540,Centro
SC,-7.539777,-46.058274,Sao Caetano
BV,-7.531706,-46.058246,Bela Vista
CN,-7.543880,-46.074338,Cidade Nova
NA,-7.528844,-46.065984,Nova Acucena
PT,-7.513078,-46.039356,Potosi
JD,-7.484587,-46.038749,Jardim Iracema Dois
CD,-7.510932,-46.052941,CDI
BB,-7.542818,-46.047915,Bacaba
AV,-7.529308,-46.055377,Acucena Velha
SX,-7.513890,-46.045884,Sao Felix
RS,-7.550930,-46.063413,Rosa Santos
CH,-7.544296,-46.051033,Cohab Nova
SL,-7.502210,-46.044144,Sao Luis
FT,-7.531137,-46.046863,Fatima
SM,-7.499280,-46.027452,Santo Amaro
SF,-7.513485,-46.047946,Sao Francisco
VU,-7.537139,-46.073196,Veneza Um
CJ,-7.527032,-46.032078,Cajueiro
PV,-7.506853,-46.027861,Prime ville
MN,-7.521873,-46.026131,Manoel Novo
SI,-7.520750,-46.055974,Setor Industrial
NZ,-7.510932,-46.052941,Nazare
JI,-7.493988,-46.040608,Jardim Iracema
MT,-7.540415,-46.049523,Vila Militar
NT,-7.545320,-46.029920,Nova Trizidela
CA,-7.536173,-46.048915,Catumbi
CL,-7.539090,-46.048149,Cohab Velha
RA,-7.519362,-46.064768,Risa
JP,-7.544190,-46.063312,Jardim Primavera
FR,-7.541064,-46.036808,Flora Rica
JB,-7.550001,-46.060194,Jocy Barbosa
TZ,-7.538513,-46.030808,Trizidela
PI,-7.527483,-46.043530,Parque Dos Ipes
VP,-7.520634,-46.043374,Vivendas Do Potosi
ES,-7.550686,-46.072111,Emerson Santos
SR,-7.548007,-46.065875,Santa Rita De Cassia
SJ,-7.545955,-46.053907,Sao Jose
AL,-7.543054,-46.071583,Alvorada
JE,-7.515228,-46.028659,Jardim Europa
JC,-7.552882,-46.061213,Joaquim Coelho
VD,-7.535691,-46.080196,Veneza Dois
PL,-7.515849,-46.030813,Planalto
ZR,-7.514007,-46.081824,Zona Rural ate dez km
CM,-7.516396,-46.058956,Parque Cidade Maravilha
NE,-7.524249,-46.063793,Nova Esperanca
JO,-7.553814,-46.065538,Jardim das oliveiras
SN,-7.525634,-46.045224,Santo Antonio
JS,-7.507065,-46.047087,Condominio Jardim Do Sol
DF,-7.560229,-46.064041,Dom Franco
UB,-7.521600,-46.075360,Unibalsas
